id,label,masked_label,qr_token,status,last_scanned_by,last_scan_time,notes
2e4cf756-d748-4537-8897-c236dceb3790,Calculator 1,Calc****,1f28960851f0,in_vault,,,
5925b3c0-9205-4c7a-82ec-7d56cfb28141,Calculator 2,Calc****,8d341ab9c37c,in_vault,,,
9a9c8605-79e6-4e0f-a6af-34028b04ae73,Calculator 3,Calc****,fcd9d5aeafde,in_vault,,,
2824acf3-9faa-4d0c-9723-c1d3d3e7c01a,Calculator 4,Calc****,4e9411e41531,in_vault,,,
b0921833-b956-4444-a6d4-27e88f234431,Calculator 5,Calc****,dcd58d5e4781,in_vault,,,
886c9ca7-2448-4a3c-a951-db87ad9649f8,Calculator 6,Calc****,ef07f67646e3,in_vault,,,
3f3eec22-c303-4070-a1f9-877a4c93221c,Calculator 7,Calc****,be7ad3763590,in_vault,,,
ad880511-fc36-46ce-bc3c-85a63bdc4646,Projector 1,Proj****,829b6d970dcf,in_vault,,,
fe7cc8dc-4500-4e62-9447-f402cb52574f,Projector 2,Proj****,bf4993d8fdfe,in_vault,,,
b46caf24-f9dc-4d77-acae-813d3f3af9a8,Projector 3,Proj****,79b6a114dd52,in_vault,,,
12dae0bf-a8ff-4757-a969-8cea8860f309,Projector 4,Proj****,5e5e0f41e779,in_vault,,,
8dcb1282-9899-43c2-9c54-99e4f6877b34,Extension 1,Ext ****,ad1a7b1c7276,in_vault,,,
1f216753-5da0-48df-8027-161d7e969d56,Extension 2,Ext ****,09feedd315bd,in_vault,,,
500f8f3f-111c-4f94-b3e7-f33d91ed221e,Extension 3,Ext ****,f18d6cea35b2,in_vault,,,
4dd5ed96-a69a-448a-8e6b-10ad16e36133,Extension 4,Ext ****,16df7235d431,in_vault,,,
e782554b-1fc7-4117-8556-d4e94026fd66,HDMI 1,HDMI****,57fd736b7a7f,in_vault,,,
f96d169b-cbc1-4030-b0a2-9ad587f68fe1,HDMI 2,HDMI****,fb7cddef0d0b,in_vault,,,
fadfd881-e62b-4a6f-bfc0-e9104081c595,HDMI 3,HDMI****,036746b6db96,in_vault,,,
643c3c77-9087-48f1-9dcd-e7d0778d1a4f,HDMI 4,HDMI****,125eebbade5a,in_vault,,,
